Stock Ticker,Tweet Text,Sentiment,Tweet URL
$HPQ,"#BullishAlert 
Bullish Stock Alert: $HPQ at $38.94

This alert is meant for swing and day traders. For details, please see the pinned tweet on top of our profile.

#StocksToWatch #DayTrading",Positive,https://twitter.com/StockAlarms/status/1526565718992400384
$SOFI,"SPAC darling $SOFI is getting slaughtered today ahead of earnings, which are due after market closes 📉",Negative,https://twitter.com/Stocktwits/status/1524049621076652032
$BRK.B,$BRK.b #BerkshireHathaway looks like one of the few buys right now depending on open tomorrow.,Positive,https://twitter.com/sutttree/status/1523491908231737346
$tsla,"Then compare it to the indexes.  $tsla lags them all.  I'm not saying there aren't worse performers, but $tsla has been pretty awful.  ""Cratering"" isn't an unfair description.",Negative,https://twitter.com/ShaneVenem/status/1526453096896790528
$JMIA,"what is shakin' with $JMIA +28% move today?  also $INVO just reported and signed new agreement #StocksInFocus #Tradingview #stocks #SwingTrading #smallcaps #microcaps #StocksToTrade 
@anyatrades
 
@StocksDiva
 
@betrbiz
 
@MayaTrades",Positive,https://twitter.com/VistaPResearch/status/1526616878042427393
$PEP,"$PEP $PM 
Both on my watchlist making strong moves today",Positive,https://twitter.com/Ollie_AllCaps/status/1526229040482267136
$BRDS,"⭐Top interesting ⭐
#Wallstreet #stocks 
today for intraday trading seem📈:

$BRDS 
$MITQ 
$IDRA
$AUVI 
$PPSI 
$ONON 
$SE 
$JMIA 

(After opening, wait for confirmation of a bullish signal.Ⓜ️y opinion, not advice) #swingtrading #trading #markets #investing  #stockmarket #Stocks",Positive,https://twitter.com/trailing9899/status/1526553862861115392
$GME,"Hey @SECGov If you're worried about stock fraud and people selling shares they don't own, have we got a story for you about $AMC and $GME.  We'd tell you, BUT WE ALREADY F'ING HAVE FOR OVER A YEAR.",Negative,https://twitter.com/qtain1777/status/1526267847491584011
$AAPL,$AAPL 🍎 #GoNoGo  Flashing its first weekly warning sign since 2020 lows,Negative,https://twitter.com/TrendSpider/status/1526004510065303555
$BRK.B,"why buy most other ETFs when we only need to buy $BRK.B?
#Berkshire #ETF #valueinvesting",Positive,https://twitter.com/myInvestingMuse/status/1524623909924253696
$ABNB,I have taken 2 vacations this Yr and planning 3rd and 4th. There isn't a single location where $ABNB is a better deal than what I find on $BKNG,Negative,https://twitter.com/snakeawake1/status/1526125188517068802
$KDP,"Consumer staples are household essentials—products that people can’t/won’t do without. Think food, beverages, tobacco, and household products.

These types of stocks hold up well even during economic turmoil.

Here are 7 quality stocks.
$UVV
$MDLZ
$UL
$KDP
$RBGLY
$MO
$BTI",Positive,https://twitter.com/HolmesWealth/status/1463188148385681411
$TSLA,"Twitter's Thoughts:

$SPY - Very Positive 
$TSLA - Very Positive 
$SPX - Very Positive 
$AGRI - Very Positive 
$QQQ - Very Positive 

#stocks #investing #trading",Positive,https://mobile.twitter.com/RealHotTakesBot/status/1526575902611603457
$BAC,$BAC paid well this morning,Positive,https://twitter.com/SynnTrades/status/1524759344734261249
$TGT,"If you took the $TGT puts don't be greedy, take those profits 💰 and a big #Congratulations on the trade! 👏
#trading #OptionsTrading #stocks",Positive,https://twitter.com/CandlesAndCash/status/1526581714276872193
$TSLA,Seems like $TSLA should welcome external validation if their ‘autopilot’ safety claims are true,Negative,https://twitter.com/bongripcapital/status/1526519911589236743?s=21&t=fFKcVxTKSKT8Dcpg1Wva0Q
$AAPL,"$AAPL - bear flag remains in place. Failure to get over the 5 day moving average

#Top5in5",Negative,https://twitter.com/AreteTrading/status/1526342781991628800
$AAPL,"“ Warren Buffet “ : worlds greatest & best  investor wants to buy more #Apple stock at current rates 

“ Micheal Burry “ : world’s 1 of the best trader is shorting #Apple at current market price

I think later one is going to go wrong here as shorting $AAPL after -20% is insane !",Positive,https://twitter.com/dishant2270/status/1526411185582936066
$TSLA,"Hey Elon. If you're so concerned about fake accounts, start here:

Who, exactly, are the people behind $TSLA propaganda account 
@WholeMarsBlog
? Why is it such a secret? Do you or Tesla compensate them in any way, or have you ever?",Negative,https://twitter.com/PlainSite/status/1526461753357312001
$PPSI,$PPSI getting tight. I think we see a small bounce,Positive,https://twitter.com/JasonRutkowski3/status/1526576160041324550
$Tsla,I will ONLY buy a Tesla How about YOU? $tsla,Positive,https://twitter.com/adamhoov/status/1525567461289930752?s=20&t=ffbCiXMc6hzUGyJUWdi-Pw
$SUNW,"Amazing! Get Winning alerts 

➡️http://linktr.ee/Xtraders

 $RKT $TWOL  $NDX $CCL $SUNW",Positive,https://twitter.com/Rahul04980546/status/1525763485011185665
$AMZN,"SELL $AMZN, BUY $TSLA 🚀🌕",Negative,https://twitter.com/ValueAnalyst1/status/1525855341182853121
$TSLA,$NQ $ES $TSLA $MSFT $AMZN $NVDA yes I’m here for turnaround Tuesday,Positive,https://twitter.com/MarlonB18651991/status/1526489892641034240
$TSLA,"I have no doubts that people will eventually lose their life savings in some bullshit like $tsla

And then people while whine and wonder why nobody saw this coming

The signs were always there just nobody paying attention 

It's inevitable...  🖕🖕🖕to all tesla pumpers",Negative,https://twitter.com/daniel_toloko/status/1526486450250067969
$TSLA,"$TSLA update $724.37

⬆️failed-⬇️ red day reversal confirmed the downtrend with an

inside red week #thestrat",Negative,https://twitter.com/TEEELAZER/status/1526455556130496518
$COST,"What's the most overvalued company you hold? 

Mine is $COST",Negative,https://twitter.com/joecarlsonshow/status/1525550429072871429
$JNJ,"This weekend, I enjoyed celebrating my favorite #dividend stock of all time, $JNJ! (I think I’ll add to my position this week.) Make sure to follow me on Instagram for fun updates like this one! 📈 Who else enjoys investing in JNJ? (Disc: I’m long JNJ) https://instagram.com/p/CdoERZyJfCF/",Positive,https://twitter.com/ianlopuch/status/1526252710177083392
$GME,"D.E. Shaw back with a decent stake in $GME again- 663,661 shares

Fun fact: D.E. Shaw was the hedge fund that Jeff Bezos kicked off his Wall Street career at before before he left to start Amazon.

https://t.co/giidVVMf8s",Positive,https://twitter.com/GMEshortsqueeze/status/1526560628990681089
$WMT,Why is everyone shocked $wmt numbers were bad? $amzn told you retail was trash and you guys kept bidding up Walmart everyday for no reason. You really thought people quit spending on Amazon and the surplus went to Walmart?,Negative,https://twitter.com/amazonholder1/status/1526529419699011591
$FB,$FB Nice.,Positive,https://mobile.twitter.com/BransonDenesik/status/1526546498632265728
$BABA,Small gains 🥰 $BABA,Positive,https://twitter.com/CheezeLion/status/1526568914859065350
$UBER,$UBER for the Long haul! $$$,Positive,https://twitter.com/J3Wright3/status/1526289933463330818
$WMT,"$WMT
 The result of allowing more unpaid customers to walkout without penalty.",Negative,https://twitter.com/Randy13968566/status/1526584562285162501
$SE,$SE beat is the biggest surprise of the year,Positive,https://twitter.com/JoelCandelario/status/1526601919015268352
$BRDS,Update: Intraday max move down from alerted DOWN prices: $BRDS 13% $IDRA 15% $PPSI 10% https://stockhorizon.com/?marker=5b694116262744146b75ad21c7acb868#performance,Negative,https://twitter.com/StockHorizon/status/1526578310251261952
$AAPL,Who is this chump? I was shorting $AAPL from $180,Negative,https://twitter.com/calvinfroedge/status/1526383735393992709
$TSLA,"This is a massive fuckin deal. Elon, Tesla, and SpaceX are about to secure significant future materials that many other companies will need as well in the future. They are thinking 10 steps ahead of everyone. $TSLA #Tesla",Positive,https://twitter.com/Teslaconomics/status/1525884303879438338?s=20&t=ffbCiXMc6hzUGyJUWdi-Pw
$TSLA,"Fun Fact: 
@Waymo
 open sources its self-driving dataset, and invites the public to solve various challenges.
#Tesla hides its data set, and refuses to release even basic disengagement statistics.
#PhonyStark #FullSelfDriving #Robotaxis #Vaporware $TSLA $TSLAQ",Negative,https://twitter.com/ClaireMusk/status/1525911276043501574
$BRK.B,"$BRK.B 
The BuffDog is buying stock all this time while everyone else be like…",Positive,https://twitter.com/NoGutsNoGlory57/status/1526350884468318208
$ONON,Is $ONON totally screwed on supply chain issues now?  Trading like it.,Negative,https://twitter.com/LSValue/status/1464253522959024140
$BRDS,"Premarket movers 📈👀
$PPSI +20%
$BRDS +35%
$MITQ +39%
$IDRA +60% 🚀",Positive,https://twitter.com/FaceTrades/status/1526537614337114113
$GOOG,"A lot of great stocks out there trading at a discount

Given the volatility in the market, it is always important to LAYER into your positions

10 Stock Watchlist:
$AAPL
$MSFT
$GOOGL
$V
$MPW
$O
$TROW
$SBUX
$TGT
$DLR

What is on your watchlist?",Positive,https://twitter.com/Dividend_Dollar/status/1524092896315510784
$SBUX,"US labor board says Starbucks, $SBUX, unlawfully fired seven for union efforts.",Negative,https://twitter.com/unusual_whales/status/1524716265587101697
$SE,"i have 2 PP exits in $WMT  n $SE shorts   both live still

so profit is assured",Positive,https://twitter.com/shaolintrader88/status/1526577467690983425
$TSLA,"James Simons of Renaissance Technologies LLC (Medallion fund) - AUM $130B 
Buys $GME ($51 million stake up 118 times)
Buys $TSLA ($1.7 billion up 109%)
Sells $AMC (slashed its AMC stake by 61% to 1.8 million shares from $127 million to $45 million)",Positive,https://twitter.com/DeepRipper42069/status/1526518771141296128
$TSLA,"Happiness as per most people’s definition, is not what 
@elonmusk
 pursues. A better future for human is. I have no concern regarding the distraction from the Twitter deal. It simply creates better opportunity to buy more $TSLA. I do worry about Elon’s safety. 1/X",Positive,https://twitter.com/zhiqiangzhao/status/1526496692773834754
$HD,"Never doubt $HD

Earnings per share: $4.09 vs. $3.68 expected

Revenue: $38.91 billion vs. $36.72 billion expected",Positive,https://twitter.com/Dividend_Dollar/status/1526552702532038656
$DDOG,"$DDOG $NET $SNOW $GTLB $MDB are all horrible businesses and sure to go to 0

Plz keep selling them indiscriminately so I can buy more shares ",Positive,https://twitter.com/LiebermanAustin/status/1526578401523470336
$SUNW,"First out// $SUNW: Sunworks Clocks 406% Revenue Growth In Q1
https://marketbit.pro/news/2022/05/16/sunworks-clocks-406-revenue-growth-in-q1",Positive,https://twitter.com/bthefirsttoknow/status/1526208095311040514
$AUVI,$AUVI 1.44 lets go and ram it,Positive,https://twitter.com/ErreTrade/status/1526582122730901505
$FRGE,"$FRGE is Dead to me. 
Isn't building higher low anymore. https://t.co/FBhON50pd5",Negative,https://twitter.com/Capeya92/status/1526542701998620674?t=NItDoglJfhWpjyBBKhnPXA&s=19
$AUVI,$VUZI $LGVN $AUVI $VERU 📈📈📈,Positive,https://twitter.com/Glad2Be_TF/status/1526565259766546433
$BWV $AUVI $DTC,"$BWV $AUVI $DTC - LI, ARVL and SUNW among pre market gainers",Positive,https://twitter.com/MarketCurrents/status/1526542358493339649
$AUVI,Good plays everywhere. $AUVI was my main profit today. Nice little account challenge for myself.,Positive,https://twitter.com/barajas_estevan/status/1526562626356056065
$ABBV,"$PG & $ABBV paying dividends today 💰

Long & strong on both 🔥",Positive,https://twitter.com/DrDividend47/status/1526281239329656833
$AUVI,$AUVI I want to see $1.40 as our new support and build brick by brick from there.,Positive,https://twitter.com/realtraderkang/status/1526560544890789894
$GFAI,"$GFAI so far, so good! I’d trim a lot here. Looks like volume is peaking",Positive,https://twitter.com/OneEyeDollar27/status/1526610479283679232
$BRDS,"+7% to the top if you exited like a king.

Now on $BRDS",Positive,https://twitter.com/benwiztraders/status/1526569556176785408
$GM,"I will say it right now, $GM is a dog of an investment. Any EV company spewing 30 new models (or 10 new models) is DOA. Invest in the best $TSLA",Negative,https://twitter.com/huggybear7/status/1524047707291017216
$SE,"$SE - Sea Limited jumps as Q1 tops expectations, tweaks guidance citing 'elevated macro uncertainties'",Positive,https://twitter.com/MarketCurrents/status/1526522551660204032
$TSLA,"He’s also lying about what the CEO said. He said an external audit wasn’t possible, not that he wouldn’t share the info. 

Lawsuits and margin calls are inevitable.  Couldn’t happen to a better guy. 

And btw $TSLA is going to $410 at minimum",Negative,https://twitter.com/ImDavidDunn/status/1526482861221679104
$TSLA,"@VoltInuOfficial
  Believe me the reversal is imminent! Do y’all know who you VOLTING ⚡️with..One direction numbers! $VOLT #voltarmy 
@elonmusk
 
@saylor
 $tsla #plaidarmy",Positive,https://twitter.com/kingoozzy/status/1525234232905408520
$TSLA,$SPACEX $TSLA all take my money,Positive,https://twitter.com/wzard19/status/1526487637716238336
$AAPL,"*APPLE SHARES FALL 22% FROM JANUARY PEAK AMID TECH SELLOFF 

$AAPL",Negative,https://twitter.com/Investingcom/status/1524781320571846656
$TLRY,"Weed stock gains still accelerating in pre-market. 

$TLRY +17%
$ACB +12.5%
$CGC +12%
$MJ +6.6%",Positive,https://twitter.com/Stocktwits/status/1507322031683125251
$AVRO,$AVRO - Avrobio stock rises as gene therapy for rare disorder shows promise in interim data from trial,Positive,https://twitter.com/MarketCurrents/status/1526552302789595136
$COST,"$COST Spent the week under the 200D, not good. 

You want it back over 508 ASAP.. 10 buck bounce if it goes for it then we see",Negative,https://twitter.com/OptionsMike/status/1525857497529081857
$BLK,Inshallah $BLK die in this market crash so they have to liquidate their housing assets,Negative,https://twitter.com/ghostburneretc/status/1524822720935956480
$tsla,"From ath, $aapl dropped 30%, $amzn dropped 35%, $tsla dropped 40%, I think we are pretty close to bottom if didn’t go over already",Negative,https://twitter.com/ddddtesla/status/1526453819785170944
$SE,"$HD  back short  failure to hold 10ma daily 

i regret covering $SE  freeroll",Negative,https://twitter.com/shaolintrader88/status/1526592483194454017
$COST,Come on $COST... you are my only red stock today. Get with the green flow.,Negative,https://twitter.com/l_hoffer/status/1526614089065279488
$XBI,"It's not easy to invest in Biotechs.

$XBI is trending and down another 3.5% today.

Here's the yearly look 😬",Negative,https://twitter.com/Stocktwits/status/1516118234352820225
$PARA,"As a shareholder of $BRK.B, I demand a full letter on why Buffett bought $PARA, I mean seriously",Negative,https://twitter.com/BloomBudFox/status/1526345745342808064
$AUVI,$AUVI setting up to be a late bloomer. over 34 million shares traded on a float that is under 7 million. Its got to pop sooner or later.,Positive,https://twitter.com/SalmanAziz1234/status/1526571460319395842
$GLBE,"$GLBE 
Check this out -  largest volume since IPO after earnings result didn't seem as bad as one originally thought.  
 
Still under IPO and 74% under the highs. 
 
GMV: $455 million, up 71%. 
Revenue: $76.3 million, up 65%. 
Gross profit: $29.9m, up 94%. 
 
#SMAPRO",Positive,https://twitter.com/lcc007/status/1526631365986373634
$CTRA,"$ctra 🔥🚀

Stanley Druckenmiller 13-F bets big on energy:
In the first quarter of 2022, #StanleyDruckenmiller took positions in #CoterraEnergy | $CTRA, as well as Philips (PSX), and topped up an existing position in Chevron (CVX).",Positive,https://twitter.com/LINK1K/status/1526649106793381891?s=20&t=jrJdijPj2qE_OPXoe5bWgA
$O,Been watching it for a while. Been checking net.un too. Feel like O is such a solid reit,Positive,https://twitter.com/tyugece/status/1525220384374677505
$NVDA,"🚨 WATCHLIST! 🚨

Expected moves: 🔥🔥
$AAPL ±$5.74👀
$AMD ±$5.88🚀
$NVDA ±$12.26👀
$WMT ±$6.88 🚀

Green levels- ideal entry ✅
Blue levels- potential price targets/ re entry points. 🥶

Taking the cons with the most volume in the EM. 😈",Positive,https://twitter.com/FatherFranklins/status/1526504968898981889
$WMT,"Walmart sinking more than 10% today, on pace for its worst day since 1987, as the CEO warns inflation is eating into its bottom line. J.P. Morgan's Chris Horvers explains the ""bifurcation"" happening in the consumer and one name he's most bullish on reporting this week. $WMT $HD",Negative,https://twitter.com/CNBCTheExchange/status/1526617513710260224
$APE,"$LUNA price action destroying alt coins today😬

$APE -30%
$AVAX -28%
$SOL -20%
$DOGE -18%",Negative,https://twitter.com/Stocktwits/status/1524409417042743298
$TSLA,"Tesla is aiming to accelerate the world to sustainable energy.. We’re aiming to accelerate your gains! When you mint GymKongz you’ll have the chance to do both by having the chance to win a Tesla! 
@Tesla
 
@elonmusk
 🦍🔥

#wentesla #GymKongz #protein #giveaway",Positive,https://twitter.com/GymKongz/status/1526263848835108864
$SE,"Sea Game Revenue Tops Estimates, Offsetting E-Commerce Slowdown https://finance.yahoo.com/news/sea-quarterly-loss-widens-consumers-104605946.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr via 
@Yahoo
 $SE #StocksToWatch",Positive,https://twitter.com/BrianTycangco/status/1526532247188537344
$WEAT,$WEAT up 15% on the day 👀,Positive,https://twitter.com/Stocktwits/status/1499481665932038146
$BRDS,Good Morrrning Retail!!! Todays Plays: $BBIG $PPSI $MARA $SOFI $SLDB $DIDI $AMC $BRDS Good Luck 🍀,Positive,https://twitter.com/TraderMaker82/status/1526537056830341120
$AMC,"$AMC is having another moment.

$AMC +24%
$HYMC +45%

Check out their wild 1yr chart 🤯",Positive,https://twitter.com/Stocktwits/status/1508473286702809106
$BRDS,"PREMARKET MOVERS
$C | $COIN | $JD | $TGT | $UAL | $BRDS",Positive,https://twitter.com/BreakingStocks_/status/1526536771659513857
$TSLA,"$TSLA 🚀🚀🚀
This is a good entry point.",Positive,https://twitter.com/EvrybodynthrMom/status/1526490814536359937
$TSLA,"It is almost like he just needed an excuse to dump $TSLA shares without the company collapsing. And now that he has billions in cash, there is no longer need for pretending to buy $TWTR anymore.",Negative,https://twitter.com/ClausMller17/status/1526490369122254848
$SHOP,$SHOP down 18% this morning after missing on earnings 😓,Negative,https://twitter.com/Stocktwits/status/1522217733718380550
$TSLA,"What will 
@ElonMusk
 cheerleaders say if he backs out of his Twitter acquisition?

He says the deal is “on hold” now until after he can ascertain what percentage of Twitter’s daily active users are bots.

Or maybe until 
@Tesla
 stock goes back up. 🤔",Negative,https://twitter.com/FrankLuntz/status/1526254005722046464
$RIVN,"Rivian $RIVN provided strong production numbers last night, 2,553 vehicles produced in Q1.  The ramp will only get stronger from here w/ explosive growth ahead.  Plenty of cash to burn through as they grow.  This is like buying Tesla $TSLA back in 2012. Doubling my position today",Positive,https://twitter.com/stockstobuy/status/1511656970700394496
$CTRA,$ctra 🔥🚀,Positive,https://twitter.com/LINK1K/status/1526648067377840129?s=20&t=jrJdijPj2qE_OPXoe5bWgA
$WMT,R.I.P. Walmart $WMT,Negative,https://twitter.com/RudyHavenstein/status/1526600318884098049
$WMT,$WMT Walmart starting to lose its footing 📦 Dipping below long term support,Negative,https://twitter.com/TrendSpider/status/1526624842472120323
$AMZN,"This chart shows the last 6 years of  $AMZN. The Trend line shows the 6 year uptrend! 

If this cracks, you will have an amazing bargain price!",Positive,https://twitter.com/DekmarTrades/status/1526397747779223554
$FRGE,$FRGE - Forge Global stock tumbles 32% ahead of Q1 earnings report https://t.co/NUgCPlMBIL,Negative,https://twitter.com/MarketCurrents/status/1526284147404070912?t=HYCPxcmqYH8kv63PRVYl3A&s=19
$RSX,"$RSX, Vaneck's Russian ETF, is down 30% since Friday.

Traders are keeping an eye on this one.",Negative,https://twitter.com/Stocktwits/status/1498307200560902146
$IIPR,$IIPR at a 5% yield seems like a solid buy 💰,Positive,https://twitter.com/theDividendKid/status/1524902614768537609
$EOG,Super happy I was able to call $EOG back when it was around $110!,Positive,https://twitter.com/FutureMindsets/status/1526413177558290433
$SE,$SE wave 4 complete post earnings dump show begins,Negative,https://twitter.com/deltagammaqueen/status/1526572716588924928
$BRDS,"Early stock gainers showing volume 🌞
$IDRA 
$MITQ 
$BRDS 
$AUVI 
$PPSI 
Stop by to check the float & short interest
#stocks #premarket #stockstowatch #StockMarket",Positive,https://twitter.com/FloatChecker/status/1526540668482592771
$TSLA,The goal is to accumulate the most shares in the best companies in the world. I’ll say it again… The goal is to accumulate the most shares… #tesla $tsla,Positive,https://mobile.twitter.com/GerberKawasaki/status/1523803431432904704
$AUVI,I gave you $AUVI at 0.90 . Put some respect on my name . News out today . Always ahead! No need to “pump” !,Positive,https://twitter.com/BoredBilionaire/status/1526558204737425408
$BLK,"$BLK going downhill.
Their clients are not pleased.",Negative,https://twitter.com/Jab5GMetaverse/status/1523698870487715847
$UPST,$UPST straight plummeting following earnings 😱,Negative,https://twitter.com/Stocktwits/status/1524027444449189891
$TGT,Stay on Target? $TGT down 2% today. Earnings tomorrow. Investors nervous after Walmart this morning? $WMT down nearly 11%.,Negative,https://twitter.com/LaMonicaBuzz/status/1526606130654416896
$RBLX,$RBLX Having a hard time holding onto any momentum. The market is green and everything’s running kind of feel like we’re stuck in the mud,Negative,https://twitter.com/shawn69871395/status/1526595018181550081
$GME,"$GME CEO of Belk joins Gamestop

Looks like his childhood aspirations are coming true 🧑‍🚀🚀🌙",Positive,https://twitter.com/GMEshortsqueeze/status/1526159427233009664
$TSLA,"Now we know why 
@elonmusk
 is bashing $TWTR stock and trying to get a better price. He doesn’t have the money for it and has to sell more of his shares to buy it. Could have been truthful from the beginning ? $TSLA",Negative,https://twitter.com/j_power1/status/1526493964093759488
$BRDS,"Nice print for $BRDS Size: 102620 Price: 1.25 Amount: $128,275.00 Time: 931
See more: https://tradewithalerts.com/last-print/BRDS
Join https://tradewithalerts.com/signup to get REAL TIME prints.
Runners 📈: https://bit.ly/2VYiZSa
Losers 📉: https://bit.ly/3wWw0sc
Gappers 🪜: https://bit.ly/3kEfjiV",Positive,https://twitter.com/TradeWithAlerts/status/1526555902849044480
$JMIA,Growth Acceleration Ahead: Why Jumia Stock Is Surging $JMIA https://newsfilter.io/articles/growth-acceleration-ahead-why-jumia-stock-is-surging-2e9cdc904b631675c27348831ab69c7d,Positive,https://twitter.com/newsfilterio/status/1526579519133569025
$BABA,"Alibaba earnings date CONFIRMED!
Mark May 26 on your calendar, it's gonna be 🔥🔥🔥
$BABA",Positive,https://twitter.com/AJButton2/status/1525168669285810177
$TSLA,"The damage that 
@elonmusk
 has recently done to his own reputation as well as the 
@Tesla
 brand is incalculable. Surrounded by ""yes"" people & wallowing in a megalomaniac-like thought process, he probably doesn't even fully realize the harm he has done.",Negative,https://twitter.com/richsignorelli/status/1525521641647874050
$WMT,$WMT is the #1 trending ticker on Stocktwits with a 48.20% positive sentiment,Positive,https://twitter.com/MarketRebels/status/1526604709473030145
$BLK,If we all short $BLK at the same time there’s nothing they can do to stop us,Negative,https://twitter.com/AutismModer/status/1524439674059694082
$NVDA,The $NVDA of today vs. $csco of 2000 analog is not looking very good for NVDA.,Negative,https://twitter.com/MichaelMOTTCM/status/1525257321047367685?s=20&t=QWRJUOxs5Bg08DOfNoWqUg
$TSLA,"Got to be the best looking car on the roads by far can a get one for my birthday 
@elonmusk
 
@Tesla
 🤣🤣🏴󠁧󠁢󠁳󠁣󠁴󠁿🙋‍♂️🖖",Positive,https://twitter.com/ScotiaWeir/status/1526478475376353280
$SUNW,"Top Watch 👀 

$IDRA
$AUVI 
$PPSI 
$ONON 
$SE 
$BRDS 
$MITQ 
$JMIA 
$DTC 
$SUNW",Positive,https://twitter.com/StockKingSharks/status/1526555934058639361
$AUVI,$AUVI with the textbook wave riding the 50 on the 2min .. beautiful to see 😍,Positive,https://twitter.com/JustShemaBaby/status/1526570864002576384
$HD,"$HD solid earnings beat across the board, with comps +2.2% vs est (3.0) a big standout; shrs +4.6% in pre-mkt trading",Positive,https://twitter.com/HammerstoneMar3/status/1526509989136936960
$ONON,They are liking $ONON this morn.  $SMH,Positive,https://twitter.com/fundmyfund/status/1526527159527002113
$FB,"Social Media stocks catching bids alongside $TWTR’s +30% move.

$FB +3.5%
$SNAP +4.5%
$SOCL +5.5%
$PINS +11%",Positive,https://twitter.com/Stocktwits/status/1511035845322678279
$HD,Before this print $WMT was in the green ytd vs -27% #retail index. Comps right in line 3%. How they were surprised by costs/mix shift to lower margin grocery (where they are gaining share) is a head scratcher. But hey weather driving grill sales now. More momentum for $HD,Positive,https://twitter.com/StaceyRetail/status/1526533712338460674
$JNJ,"My Top 5 Dividend Payers: 

1.)  $840 - Johnson & Johnson $JNJ 🩹
2.) $444 - T.Rowe Price $TROW 💰
3.) $441 - AT&T $T 📱
4.) $370 - ABBV  $ABBV 💊
5.) $329 - Target $TGT 🎯

Love the diversity & the fact that there are NO OIL stocks on this list. 

What stocks make up your Top 5?",Positive,https://twitter.com/DvdndDiplomats/status/1525866866241159169
$MULN,"$MULN up 48% since this post from 
@NauticusTrading
!🔥",Positive,https://twitter.com/STpremiumrooms/status/1504515664865812482
$ABBV,"My $abbv shares are generating over $1,300 in passive income on a yearly basis without reinvesting. Not bad. This gives the stock support in a rocky market.",Positive,https://twitter.com/JamesMclaire/status/1526296037903593472
$WMT,$WMT has a cost problem,Negative,https://twitter.com/kaileyleinz/status/1526522299196887040
$RBLX,$RBLX could end up red after being up 20%. I wouldn’t be surprised.,Negative,https://twitter.com/LettacoC/status/1524397621602709504
$WMT,"you can't make this up

$UPS
$WMT
$KR

all up today, all segments $AMZN is in logistics,retail,groceries

but Amazon has cloud and that makes it tech, which makes it a $0",Positive,https://twitter.com/amazonholder1/status/1523751653664768000
$AAPL,"$SPX testing the highs, in a range since the open.. best to see this close above 4020 to set up for 4063 tomorrow

$AAPL stuck near 145 for most of the day.. if we see 150 this week it can run to 153-156 next

$NVDA 183 next big level to break to set up for 200 by earnings",Positive,https://twitter.com/EliteOptions2/status/1526253129641041921
$GFAI,"Remember last time I pounded the table on $GFAI under $0.50…. it ran to $1.9. We’re gonna do it again. Revenue, acquisitions.",Positive,https://twitter.com/MoonMarket_/status/1526559092994625537
$GLBE,"What's going on with $GLBE?
I mean, an overreaction is one thing but this reversal is next level.
Congrats to anyone that bought on the low this morning.",Positive,https://twitter.com/FoxyFomo/status/1526638135395983362
$GFAI,$GFAI Glad I got in at .48 Up 38% now!🚀📈🔥,Positive,https://twitter.com/Barneysurf1/status/1526604496544993281
$TSLA,"$TSLA
 New greatest EV power saver business combination coming!!! Imagine 
$IPWR
 tech giving Elon a 30-40% EV energy saving boost. Pushes batteries to 140% which mean greater range than what currently sell cars for. 

That separates Tesla from the rest of the EV markets",Positive,https://twitter.com/bicycleman0402/status/1526280968415416327
